Artist Name	Organization	Country	Media / General	Medium of Work	Product Image	Years Attended	Booth #	Longitude	Latitude	Artist Image	Artist Bio 1
Ida Bagus Anom Suryawan		Indonesia	Sculpture, wood carving, masks	Balinese carved and painted wood masks		2010, 2011, 2012, 2013, 2014, 2015	60				Born in Mas village in Bali, Ida makes masks from light pulewood for use in the topeng masked dance ceremony. The brightly colored masks feature as many as 40 layers of acrylic paint, which ensures their durability. Ida learned mask making from his great uncle, a well-known wood carver and mask maker. He is grateful to share this tradition with the world; it is his duty and joy. His young son already carves alongside him. He was honored to repair ancient temple makes at his local temple and he also performs topeng dance for ritual occasions in his community.
Leokrita Diana	Riak Bumi Foundation	Indonesia	Basketry	Woven Bemban mats, basketry, and accessories		2015	12				Leokrita supports her family through earnings from her woven mats and other accessories, made with bemban she harvests herself. Her handbags and bracelets are innovations in the art form, and her motif designs are known for their difficulty.  She has joined together with other women in her village to organize trainings and motivate young weavers. Amongst others, the basketry includes the work of artists Yunita Kanca, Kati Kati, Stasiana, and Ida Ida. Riak Bumi Foundation empowers Indonesian communities by promoting conservation and community development as well as teaching sustainable management of natural resources. They have helped the weavers to collect and store bemban material and to document designs for use in trainings. 
Ben Zion David		Israel	Jewelry	Yemenite jewelry and Judaica formed from silver filigree		2010, 2011, 2012, 2013, 2014, 2015	33				Ben-Zion uses traditional tools to shape sterling silver, semi-precious stones, lava, coral, and archaeological artifacts into filigree jewelry of all sorts, including ceremonial items that have been used for centuries. For hundreds of years, Yemenite Jews have maintained a closely-guarded tradition of jewelry-making using precious metals. Their tools and techniques have been passed down as family secrets, protecting a heritage and a livelihood that has constituted a special role for Yemenite Jews. In his workshop and gallery in Old Jaffa, Israel, Ben-Zion David is seeking to revive this disappearing art form, which he learned from his father and grandfather.
Naama Al Sana and Hasan Sana	The Association for the Improvement of Women's Status Lakia	Israel	Textiles	Negev Bedouin embroidered dresses, bags, and home accessories		2015	141				Naama creates Bedouin embroidery, known for its bright colors and intricate designs, both of which have cultural significance and symbolic meanings. The use of trees and flowers in her work symbolize growth and abundance. Embroidery is a key element of cultural identity and tribal affiliations. Some Bedouin embroiderers do not finish their patterns because perfection is thought to invite the evil eye. The Association for the Improvement of Women’s Status Lakia empowers Bedouin women through advancement of their economic and social status. They recognize embroidery as a means of preserving traditional artistic skills that are in danger of being lost.
Andrea Usai	KOKKU	Italy	Jewelry	Sardinian Gold and silver filigree jewelry		2014, 2015	61				Andrea learned the art of Sardinian filigree from his uncle and hopes to make the beautiful tradition endure for future generations. In Sardinia, filigree jewelry is often an heirloom gift passed from mothers to daughters on special occasions, and may also be given as a token of love. Known for the precision and intricacy of his art, Andrea’s pieces require hours of work and concentration to complete. For centuries, filigree has been an important part of the cultural identity of Sardinia, and Andrea hopes his work serves as introduction to his home city, cementing a memory so the wearer can be reminded of it forever.
Mikio Toki		Japan	Other (kites)	Tokyo-style kites made with Washi paper and bamboo		2013, 2014, 2015	18				Mikio creates each beautiful kite by hand in a traditional Tokyo style that began many centuries ago. When Mikio was young, he was mesmerized by the kites made and flown by an elderly kite master and felt strongly inspired to design kites. He has now been working for 35 years as a kite maker, using Japanese Washi paper, which is derived from the paper mulberry tree. He uses dyes and Japanese Sumi (black) ink to paint the artwork onto the paper. These traditional materials create a stained glass effect when the kite is flown in the sky.
Aigul Zhanserikova 		Kazakhstan	Textiles	Felted Rugs, Pillows, Scarves, Clothing and Bags 		2014, 2015	132				Aigul learned Kazakh felt making from her grandmother who produced felt for many traditional household needs. Historically, felt made from locally raised sheep supported a nomadic lifestyle. Felt yurts were filled with carpets, blankets, and clothing produced from the closely bonded wool fibers. In 2002, Aigul opened the first workshop for felt revival in Kazakhstan. Over 300 women trained at the workshop are now creating a sustainable source of income. Felt products are experiencing resurgence in customer demand due to their eco-friendly natural materials and Kazakhstan citizens’ interest in maintaining their national traditions. Aigul is known for her rugs and scarves.
Ilya Kazakov		Kazakhstan	Jewelry	Kazakh jewelry, carved, ornamented boxes, mirrors and hair ornaments		2013, 2014, 2015 	6				Ilya’s jewelry and his carved wooden boxes and combs carry Kazakh symbols of protection. Set with local stones and using silver, which Kazakhs believe has purifying properties, his jewelry represents a rich cultural heritage. Working closely with his wife and an apprentice, he creates meaningful and beautiful pieces, such as a two-finger ring that represents the joining of two families, and traditional boxes used to store combs, which have special sacred significance. Using reclaimed woods from old furniture, window frames and pianos, along with distinctive metal plating, he follows a long tradition he hopes his own daughter will continue. UNESCO Award of Excellence Winner
Meeri Tuya	Maji Moto Widows Project	Kenya	Jewelry	Maasai bead jewelry and beaded clothing and accessories		2014, 2015	58				Meeri is a mother and bead artist representing a village of Kenyan widows who make a living through the sales of their beadwork. The beadwork created by these women is a key element in an effort to create safe, sustainable living conditions for women and their children who are in difficult circumstances. The village empowers women by providing them a source of income, as well as reinforcing the cultural value of their beadwork to younger generations. These artists use colorful beads, leather, seeds, wires, and string, combining them in artistic and brilliant ways to create a wide range of jewelry and accessories.
Kadyrkul Sharshembieva, Nazira Dairova, Farzana Sharshembieva, Abay Inoyatov	7 Sisters	Kyrgyzstan	Textiles	Felt-with-silk scarves and rugs		2011, 2012, 2013, 2014, 2015	83				7 Sisters have taken on the honored family tradition of making felt carpets and rugs, as well as making scarves that combine silk and felt and traditional jackets. These beautiful and delicate pieces are made with local raw materials, including natural dyes, sheep’s wool, and handmade yarn from sheep. Her family even began to utilize the remnants from felt carpets by creatively transforming them into other necessary domestic goods and toys.  These sisters are dedicated to reviving and revitalizing Kyrgyz traditions and translating the natural beauty of their surroundings and the importance of their cultural heritage into these beautiful, handmade works. UNESCO Award of Excellence Winner.
Zhanyl Sharshembieva		Kyrgyzstan	Jewelry/ Leatherwork	Silver jewelry, saddle and leather goods		2013, 2014, 2015	82				Zhanyl grew up under the artful eye of her sisters, master textile artists, and their father, a master saddle maker. Today, they combine their talent into a jewelry-making business inspired by her sisters’ designs. They shape, cut, engrave, and solder these designs into exquisitely detailed earrings, cuffs, necklaces, and rings. As Zhanyl explains, “Owning silver, for a Kyrgyz, is like touching something sacred, left by the ancestors.” Drawing on their community’s traditions as shepherds and herdsmen, they create decorative motifs illustrative of their culture’s pagan symbols for earth, sky, and water, as well as animal life of the region.
Seokham Keomanivong	Saoban Handcrafts	Lao PDR	Textiles	Indigo dyed clothing and housewares 		2015	137				Seokham’s work has designs that represent indigenous Lao culture and spiritual beliefs. Symbolic representations of animals and plant life are also prominent. While men produce the looms and spinning wheels, women carry out the dyeing, weaving, and batik embellishment. Indigo dye products are all made from Lao indigenous plants and cotton, hemp, and silk fibers. Master dyers pass on their deep knowledge, including their dye pots, to younger family members. Locally produced indigo woven products are used with great pride in daily life. Saoban Handcrafts features textiles produced by families in four distinct indigo dyeing communities of Laos.
Soubandith Lattanavong	Orijyn	Lao PDR	Jewelry	Jewelry featuring the Dok Phikoun flower pattern		2009, 2010, 2011, 2013, 2014, 2015	116				Working on a bench with a blowtorch and hand tools, silversmiths in Vientiane, Laos labor over silver ingots to create intricately crafted cuffs, bracelets, and necklaces. The silversmiths are members of a cooperative called Saoban that is part of a non-profit school that preserves traditional arts while improving education and healthcare through revenue development for artists. Although silversmithing is typically passed down through families, the cooperative is working to introduce more young people to the art in order to keep the tradition alive. The style of silversmithing employed by members of Saoban is particular to the Lao Loum group in Laos.
Traditional Arts and Ethnology Centre		Lao PDR	Textiles	Tai Lue, Katu and Phoutai textiles; Yao Mien embroideries		2012, 2013, 2014, 2015	130				The Traditional Arts and Ethnology Centre is the first culture organization in Laos dedicated to the appreciation and understanding of its diverse ethnic cultures and arts. TAEC promotes livelihoods based on traditional arts and aims to provide accurate and engaging information about the cultural heritage of Laos. Their artists are leaders in their communities and masters of their art. The textiles brought to the Market will represent the work of many artists and their unique cultural weaving traditions.
Veomanee Douangdala and Sykai Phonethilade	Ock Pop Tok	Lao PDR	Textile	Silk and cotton weavings of the Tai Kadai style		2007, 2008, 2009, 2010, 2012, 2013, 2014, 2015	96				Veomanee and Sykai represent Ock Pop Tok. Veomanee learned weaving at the age of eight, by helping her mother weave the easy parts of patterns for woven textiles used in daily life. She also learned dye skills from her mother, a well-respected weaver known for her knowledge of natural dyes. In 2000, Veomanee co-founded OckPopTok.  OckPopTok’s Living Crafts Centre, an innovative textile gallery and workshop in Luang Prabang that provides sustainable employment to 800 artists throughout Laos. The Centre allows artists to share their skills and endeavors with each other and its goal is to empower artists through celebration of their heritage.
Marie Rasoantenaina		Madagascar	Other (weaving/recycled)	Vetiver and recycled cotton rugs, baskets, hats and home accessories		2015	93				Marie combines traditional weaving techniques with modern aesthetics to create baskets, rugs, and other household items for daily use. After much research and experimentation with getting dyes from leaves, bark, and stone, she can create nearly 40 bold colors from these natural resources.  Weaving and basketry is the foundation of her daily life and culture. Baskets are used for the transportation and storage of food, and are especially food safe because of the natural materials and dyes. The core element of this art is the vetiver grass, which is grown and harvested by men and then woven by women. It has a natural sweet smell that artists carefully preserve.
Rado Herivonona Ambinintsoa	Federation Sahalandy	Madagascar	Textiles	Woven silk, cotoon and raffia accessories and home furnishings		2011, 2012, 2013, 2015	128				Rado represents Federation SAHALANDY. The silk weavings of SAHALANDY were first brought to the International Folk Art Market | Santa Fe in 2011. The Federation SAHALANDY, located in the central highlands of Madagascar, is made up of seven weaving cooperatives representing nearly 100 members in the area. Federation SAHALANDY empowers women by increasing non-subsistence income, finding sustainable markets abroad, building a cultural heritage center, and continuing to teach the weaving tradition to future generations. “One silk strand is strong, but when many are woven together, they are stronger,” is a Malagasy proverb that illustrates SAHALANDY weavers, weavings, and community work.
Mohamed El Maouloud Ag Hamid	Association Timidwa	Mali	Jewelry, Leatherwork	Sterling silver Tuareg jewelry		2015	89				Mohamed learned the art of metalworking from his father, who learned from his father before him. His traditional Tuareg jewelry and knives are engraved and detailed with meaningful symbols and intricate design. These pieces are worn in daily life, but also used in traditional Tuareg dances and religious festivities. He is the president of Association Timidwa, which has 70 artists representing Mali’s many ethnic groups. The 30 women of the association work with leather, while the men are metalworkers. There is an annual apprenticeship program for community boys to learn metalworking as well as their traditional role in Tuareg culture.
Agustín Cruz Prudencio 		Mexico	Woodwork	Hand carved and painted wooden figures		2011, 2012, 2014, 2015	71				Agustín’s skilled woodcarvings have won him various awards in his home state of Oaxaca and nationally.  His work carries on a centuries-old tradition of giving a baby a small carving of their spirit protector. For hundreds of years, woodcarvings of nativity scenes, virgins, saints, and other religious images have held a significant role in daily and spiritual life for the people of Oaxaca. Agustín learned the skill at a young age by watching his father carve. Agustín’s wife, Carmen Sosa Ojeda, is an excellent painter and collaborates with him to create innovative, intricately-painted wood carvings.
Agustín Cruz Tinoco 		Mexico	Woodwork	Hand carved and painted wooden figures		2006, 2010, 2011, 2012, 2014, 2015	71				The hand-carved wooden figures that have brought Agustín national recognition begin as blank pieces of pine, cedar, or mahogany wood. Agustín has been carving since childhood and has received awards in various state and national folk art competitions for his carved wooden pieces. He seeks to understand and exploit the natural forms and qualities of the wood. He then uses various knives, files, agave thorns, and needles to shape his brightly-painted and intricately-detailed jaguar boxes, religious figures, altarpieces, and nativity scenes. Both his son and daughter are carrying on their father’s tradition – Manuel, skilled in carving, and Edilma, skilled in the painting of carvings.
Catalina Delgado-Trunk		Mexico	Paper	Papel Picado cut-out designs on paper		2007, 2015	86				Catalina learned many fascinating and colorful customs from her paternal grandmother, including how to create a Day of the Dead altar. The altars are, for her, a meaningful way to express her cultural identity and to come to terms with the cycle of life and death.  Since learning the rudimentary skills of paper arts as a child, Catalina went on to become skilled and renowned for her papel picado or cut-paperwork. Papel picado is often seen as flags and banners for festivals and other ceremonial purposes, now used mainly for decoration.
Daniel Paredes Cruz		Mexico	Ceramics 	Hand painted Day of the Dead figurines		2014, 2015	23				Daniel’s colorful skeleton figurines are used to celebrate the festival of Day of the Dead each year in Mexico. The painting of each piece is very detailed and colorful, expressing the happiness that is felt when one’s loved ones are remembered and honored on this special day. He is the fourth generation of Dia de Los Muertos artist in his family, learning to sculpt at a very young age from his father. He finds inspiration in all of his surroundings and he works alongside his father in their home. He teaches classes in his community and is proud to pass down the tradition.
Guadalupe Hermosillo Escobar		Mexico	Metalwork	Forged metal roof crosses of San Cristobal de las Casas, Chiapas		2011, 2013, 2014, 2015	140				Guadalupe was born in the southern town of Tapachula, Chiapas where he learned how to forge iron from a master forger. He married his mentor’s daughter and now passes on the art of forged iron to their sons. Iron-forged crosses were originally placed on Catholic homes to protect inhabitants from evil. Those same crosses, simple and ornate, continue to adorn rooftops as well as hearths in Mexico. The tradition has grown, incorporating symbols of the life and passion of Christ, love of family, and good and evil.
J. Ruben Lopez Cruz		Mexico	Painting	Huichol-Wixarika yarn paintings		2015	62				J. Ruben’s yarn paintings express the mythology, iconography, and religious narratives of the Huichol culture. Raised by his grandfather, a highly esteemed shaman, and mentored by yarn painters Mariano and Cilau Valadez, his art provides a physical form to his prayers, an expression of gratitude. 
Jessica López Felipe	Museo Textil de Oaxaca A.C.	Mexico	Textiles	Embroidered textile clothing and home accessories		2015	9				Jessica and her fellow cooperative members create a distinctive style of embroidery that evolved in the small community of Camino de Ixcatlán in southeastern Oaxaca.. Each design represents her village and she incorporates the bright colors she sees in daily life into her work. The birds and flowers that surround her home serve as inspiration for the bold patterns. The cooperative was formed to improve the quality of their work and to introduce this unique art to the world.
José García Antonio and family		Mexico	Ceramics	Terracotta figurines and animals		2014, 2015	109				José uses clay from the soil of his village to create life-sized sculptures of Zapotec women and mermaids. Known for his large creations, he has won many awards and has been featured in books about master folk artists of Mexico. After problems with his sight for 50 years, he is now nearly blind but continues to work daily. His wife assists in the finishing details of the sculptures. Ignacio and his sons, all of whom live in Santa Clara del Cobre, work together using one sheet of metal to fashion the desired shape. It is a technique Ignacio learned from his father, who learned from his father, and later passed it down to his own sons.
Jose German Punzo Nuñez, Ignacio Punzo Angel, Jose Rosaldo Punzo Nuñez, Ignacio Gabriel Punzo  Nuñez		Mexico	Metalwork	Tarascan silver and copper decorative bowls, vases, water jars and dishes		2006, 2010, 2011, 2015	38				The metal work of this Michoacan family begs to be touched. Some of the pieces are smooth, others boast a texture similar to a pineapple. The similarity is in the fact that all the pieces, which are either silver or copper, are fired in an open pit in pine charcoal ash and “special stones.” Once the work has been fired, it then is picked up by a pair of traditional tongs and hand-hammered to give the vessel or figure its specific form. Ignacio and his sons, all of whom live in Santa Clara del Cobre, work together using one sheet of metal to fashion the desired shape. It is a technique Ignacio learned from his father, who learned from his father, and later passed it down to his own sons. But the threat of violence from the nearby drug cartel weighs heavily on the minds of the artisans. Ignacio said that not only has it cut into tourism, but it now is threatening the very existence of the ability of Ignacio and his family to create the art itself.  He said: “If we are not successful in finding an alternative market, my sons will be the first generation to be forced to find alternative work.”
Juana Reyes Garcia 	Museo Textil de Oaxaca A.C.	Mexico	Textiles	Backstrap woven clothing and accessories		2015	9				Juana represents a cooperative of women weavers who are known for their bold color combinations and unique designs. The weavers work together, each having their own expertise in the many steps of the weaving process. Through their art, they are able to provide food and education for their children.  Most girls in this village learn the weaving process at a young age and as teenagers are producing clothing and table linens on back strap looms using their finely spun cotton, which they hand dye. Five years ago Juana decided to improve the overall quality of the weavings made in her community and organized 257 women to work together to perfect colors and finishing details.  
Macrina Mateo Martínez	Innovando la Tradicion	Mexico	Ceramics	Lead-free clay bowls, vases and cookware		2015	64				Marcina’s elegant pots are known for their unique red polish, achieved through a special technique passed down through generations. The shapes of her work are inspired by the beauty and balance that she sees in nature.  Helping to support her family with her art, a pot is more than a physical object— it represents her identity, her heritage, and a better future for her family and her people. 
Magdalena Pedro Martínez		Mexico	Ceramics	Black pottery sculptures of people in regional dress		2008, 2010, 2012, 2013, 2014, 2015	32 A				Magdalena uses the distinctive black clay indigenous to her town of San Bartolo Coyotepec to form her sculptures of women dressed in regional costumes. Her sculptures are known for their carefully engraved details and for how incredible life-like they are. The regional costumes are carved in minute detail, which gives each piece unique and specific embellishments. Magdalena wants to create a permanent record of the traditional costumes worn by the women in her area, and she is doing so through documentation in the form of her clay women.
Margarita Garcia de Jesús, Antonia Brigida Guerrero Santa Ana	La Flor de Xochistlahuaca	Mexico	Textiles	Backstrap woven "coyuche" huipiles, blouses and home accessories		2015	97				Margarita weaves traditional clothing, made from natural dyes and cotton she personally harvests. The colorful and symbolic designs represent elements in nature and the universe. She says that weaving is like the sunset, it happens each day and she cannot live without it. Embracing her creativity, she innovates combinations of designs and is inspired by motifs around her. By teaching her daughter to weave, she is proud to be keeping her heritage alive.  La Flor de Xochistlahuaca aims to improve the economic lives of its weavers through maintaining traditional weaving techniques. They also teach youth workshops to help keep the art flourishing for the future.
Margarita Gonzalez Flores, Maria Juana Hernández Hernández, Alicia Molina Vazquez, Maria del Belem Segura Aguilar, Eustaquia Gomez	Fomento Cultural Banamex A.C.	Mexico	Textile	Textile			99				Concerned for the survival of traditional art forms, BANAMEX developed the Program in Support of Folk Art in 1996.
Mariano Valadez Navarro		Mexico	Painting	Huichol-Wixarika yarn paintings		2011, 2012, 2013, 2014, 2015	62				Huichol yarn painting has been a part of Mariano’s heritage for as long as he can remember. His family often made them for sacred places and ceremonies in their indigenous community. He now makes these vibrant and elaborate yarn paintings professionally to support his family, but has continued to incorporate spiritual and mythological themes. His work features scenes from peyote visions, ceremonial life, and Huichol cosmology in his work. Mariano identifies not only as a Huichol yarn painter, but also as a storyteller who is translating his culture’s rich traditions and beliefs into an art form that he hopes anyone can connect to and appreciate.
Nicolás Fabián Fermín		Mexico	Ceramics	Burnished clay figurines, plates, vases and pitchers 		2015	133				Nicolás learned to work clay from his parents at an early age, eventually experimenting with his own designs. He wanted to move away from using the unhealthy lead glazes that were traditional in the village and he started to use his own unique technique. He begins by burnishing the slipped surface, sketching nature-inspired designs onto that, and then scraping away the interior areas to leave a matte pattern. The pieces are fired at very high temperatures and later covered with a light coat of wax, making them durable enough for everyday use. He works together with his wife on many of the pieces, and their daughters are now learning to create alongside them.
Odilon Merino Morales		Mexico	Textiles	Backstrap loom-woven embroidered huipiles		2013, 2014, 2015	126				Odilon and his family are keeping the rare tradition of Amuzgo “huipiles,” or tunics, alive. Hand-woven on a back-strap loom, these colorful pieces are made with local cottons and feature expressive designs. These designs are often of local plants and geometric shapes that have symbolic significance or personal meaning to the weaver. Odilon is a leader in revitalizing the use of coyuche cotton, a traditional and rare brown cotton that has been replaced in modern huipiles by synthetic material. He also uses an uncommon purple dye that comes from sea snails. Through his clothing he hopes to renew interest in natural materials and traditional dress.
Olegario Hernandez		Mexico	Woodwork (gourd carving)	Carved and engraved gourds		2015	32 B				Olegario grows and harvests his own gourds, which he then carves with graceful designs. Each piece features the animals, birds, and wildlife that surround him. He deeply loves and respects his art and hopes that the finished pieces give off a joyous energy. Carved gourds have been used for centuries in domestic life and Mixtec ceremonies.  He teaches local youth, hoping to preserve this ancient art. Olegario’s work has been featured in books and collected by museums in Mexico and the United States.  
Rafael Cilau Valadez		Mexico	Painting	Huichol-Wixarika yarn paintings		2012, 2013, 2014, 2015	62				Rafael is part of a new generation of young Huichol Indians who have migrated to cities outside of their indigenous villages. The son of world-renowned Huichol yarn painter Mariano Valadez and anthropologist Susana Valadez Eger, Rafael has been mentored by his community’s master craftsmen and shamans to be able to carry on the practices of the Huichol mystic arts to coming generations. One of the few in his community fluent in English, Rafael uses his voice as an advocate for Huichol indigenous rights and his vision as an artist to spread the meaning and beauty of his people’s culture to the world.
Amina Yabis	Sefrou Women's Button Cooperative, "Cherries"	Morocco	Textiles	Hand-knotted thread buttons, button jewelry, slippers, scarves and shawls		2009, 2010, 2011, 2013, 2015	112				Amina Yabis was a typical Moroccan housewife and mother of four boys whose husband was a school teacher.  With the support of her husband and family, she decided to break out of the narrow role defined for her by Moroccan society and help women play a part in the economic and political life of her community.  She formed a women’s craft association called Golden Buttons to market the hand-woven buttons women had been making in their homes for generations.  Economic success led to a literacy campaign for women with the result of more economic opportunities.
Lhoucine Taous	Azlag Dagger Cooperative (La Cooperative Artisanale Des Poignards Azlag)	Morocco	Metalwork	Tuareg and Berber-style daggers and mirrors 		2012, 2013, 2015	63				Lhoucine represents the Azlag Dagger Cooperative, the only group of its kind following this tradition and derives its handcrafted designs from Roman, Jewish, Berber, and Islamic influences. Similar designs and engravings found on the daggers are used for the mirror frames.  The art of dagger making has over 700 years of history in Morocco. The daggers are made from various metals, woods, and animal bones and skins, using plants for the natural dyeing of the handles. The artisans in the ancient Berber village of Azlag, which means “come together,” employ nearly 70 men and help to support their families.
Camurdino Mustafa Jetha		Mozambique	Carving (wood)	Psikelekedana softwood carvings - daily life in Mozambique		2008, 2009, 2012, 2013, 2014, 2015	125				Dino makes Psikelekedana, a type of softwood carving made from the wood of the cashew nut tree. Dino learned to carve at the age of 18 from an elderly neighbor who was a master of the art. He creates scenes of daily life and traditional ceremonies. The scenes help to educate the viewer about customs and also serve to express the history of the community and the culture it represents. He received further training from Aid to Artisans and has participated in the National Fair organized by Centro de Estudos e Desenvolvimento de Artesanato (CEDARTE), Dino’s sponsor for previous Markets.
Khin Maung Htwe, Tin Tin OO, Than Than Naing		Myanmar	Puppetry	Elaborately costumed, carved and painted wood marionettes		2013, 2014, 2015	21				Khin and his cooperative are reviving the centuries-old tradition of making elaborately-costumed wood marionettes, as well as creating opportunities for young puppeteers to perform and organizing the older generation of wood carvers to pass their art onto young artists. To make a puppet requires the skills of sculpture, painting, dressmaking, embroidery, and performance and often needs the work of three or more artists to complete. Puppet theatre is used today to convey both traditional stories and current events to the public.
Omba Arts Trust		Namibia	Several	Basketry, ostrich eggshell and PVC jewelry and beaded art cloths		2009, 2010, 2011, 2012, 2013, 2015	45				Omba Arts Trust is an organization that supports sustainable livelihoods through the development and marketing of quality Namibian art. Omba specializes in traditional baskets, ostrich eggshell jewelry, Bushmen art and textiles, and bracelets made from PVC pipe. Their artists come from nine regions in Namibia and represent 20 different cultural groups and communities. Each piece is representative of the artists’ cultures and features unique materials and traditional designs. Omba holds workshops and trainings to help the artists improve their skills and artists are now working independently to train others in their communities.
Phupu Sherpa	Tibet Aid Wind Horse Project sponsoring Yangma Traditional Weavers Cooperative	Nepal	Textiles	Handspun, hand knotted Tibetan weavings, carpets and pillow covers with symbolic motifs		2015	78				Phupu is a master of a rare double crossed knotting technique used to make beautiful carpets filled with symbolic motifs and designs. Working alongside her four daughters, each weaving takes nearly six weeks to be finished. These traditional carpets have seven unique designs that are connected to the Buddhist belief system and to Phupu the weavings represent the traditional values and lifestyles of her people. Yangma Traditional Weavers Cooperative was founded to preserve the unique weaving traditions of the Yangma peoples. The 32 members of the cooperative live in the remote villages of the Olangchung-Gola region and have all mastered the weaving of these beautiful carpets.
Ujjwal Shrestha		Nepal	Papier Mâché	Paper-mache masks and puppets		2014, 2015	25				Growing up in a family of folk artists, Ujjwal learned many paper arts before studying with a master mask maker and devoting himself to papier mâché masks. His use of traditional materials and colors brings forth the facial expression of the deities the masks represent. While the traditional masks are used for religious dances and ritual performances, smaller masks are made for people to bring home for peace, prosperity, and good luck.
Elhadji Mohamed Koumama and Ismael Elhadji Mohamed	Tuareg Jewelry 	Niger	Jewelry	Silver Tuareg jewelry with ebony wood and semiprecious stones		2009, 2010, 2011, 2012, 2013, 2015	40				Elhadji and his son Ismael represent the Tuareg Jewelry cooperative. Over 50 silversmiths continue a tradition of craftsmanship that spans over 25 generations and benefits over 200 people from their community. Nomadic Tuaregs typically owned few material possessions, but they cherish beauty, so jewelry has been an important (and portable) art form in their culture. Most pieces are geometric in shape and have a special significance including crosses given from fathers to sons, triangular pieces given from mothers to girls, diamond shaped pendants called “Igourou” given by men to their brides, and amulets, square pendants encasing a selection from the Koran, worn by all ages to protect against evil spirits.   The Koumama family works in several small groups of two to fifteen men with boys beginning their apprenticeship at age seven.  The pieces are made by the lost wax method, then engraved and hammered, and adorned with stones.
Akeem Ayanniyi		Nigeria	Other (Musical Instruments)	Ashiko, Djembe and talking drums		2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015	90				Akeem makes traditional West African drums that are played for ceremonial occasions and religious functions and are among some of the oldest village-to-village communication instruments in Nigeria. Akeem is from a highly respected family of drummers and drum makers, going back nine generations. These instruments are all handmade with local materials; carved from mahogany or teak, topped with cowhide, and laced with rope strings. The shape creates the type and sound of the drum. The pitch can be raised or lowered by squeezing the drum’s strings, and the artistry of playing is in the adjustment of the strings.
Gasali Adeyemo		Nigeria	Textiles	Batik, adire and tie-dye fabric and clothing		2005, 2007, 2008, 2010, 2011, 2012, 2013, 2014, 2015	31				Gasali creates beautiful fabric and clothing using batik designs and the traditional adire technique. He uses the traditional tools of a broom stalk, a chicken feather, and cassava paste to make each piece. He specializes in the use of indigo dyes because of their importance to his people, and each textiles has traditional Yoruba designs, with symbolic and biographical meanings. Growing up, his mother made clothing for the family, which inspired him to pursue the art. He was a student at the Nike Center for Arts and Culture and has subsequently become a trainer of the arts of the Yoruba people.
Malam Jamilu	Bashari Birninkudu Foundation	Nigeria	Leatherwork	Leather rugs, cushions, bags, fans and accessories		2015	35				The Bashari Birninkudu Foundation sponsors the work of Mallam Jamilu, who uses locally tanned and dyed leather to make rugs, cushions, bags and other accessories.  The hand-tanned and hand-dyed leather, which is usually made from goatskins, is cut into the requisite pieces, which are then sewn together by hand to produce traditional Hausa-Fulani designs. Leatherwork has an extensive history in northern Nigeria, where the two processes of leather tanning and leatherwork have long been family businesses.
Toyin Folorunso	Rafremi-Eises	Nigeria	Metalwork	Aluminum relief panel sculptures		2007, 2008, 2009, 2010, 2011, 2014, 2015	88				Toyin creates intricate images on aluminum panels. He uses a repoussé method, which is the process of ornamenting aluminum surfaces with designs in relief by hammering from the back. He uses local blacksmithing tools such as the chisel hammer, knife, punches, and hot coals for forging. This art is hung on palace walls and around village houses as decorations. The pieces tell local folkloric stories and of local ceremonial events and help convey the history of the community. Toyin was born into a family of traditional artists and grew up learning many art forms. He has an established gallery in Osogbo.
Abi Gul	Supported by Poetic Threads of Pakistan PTOP (NGO)	Pakistan	Several	Kalashi embroidery, weaving, beadwork and basketry		2011, 2012, 2013, 2015 	55				Abi Gul is a member of the isolated Kalasha people, numbering 3,000, who live in the remote mountainous area between Pakistan and Afghanistan. Kalasha means “Wearers of the Black Robes.” Unlike most other villages in Pakistan, Kalasha women such as Abi Gul are permitted active membership in the governing body and central roles in village decision-making.
Amna Shariff		Pakistan	Jewelry	Sterling silver jewelry		2015	136				Amna’s silver jewelry is a unique combination of traditional techniques and modern designs made with the highest quality of raw materials. The geometric shapes of her work echo the mythology of the Indus Valley Civilization. Each piece of her work is a celebration of joy and beauty. She uses numerous techniques including filigree, hammering, and etching to bring out different beautiful qualities in the silver. Her workshop uses traditional tools and she is currently training other artists in her unique style. Amna’s jewelry is recognized and exhibited throughout Pakistan. 
Begum Bibi, Maimoona Ijlal	Supported by Poetic Threads of Pakistan PTOP (NGO)	Pakistan	Textiles	Traditional Swati embroidery		2011, 2012, 2013, 2015	55				The Swat Valley is known for its intricately-embroidered wedding blankets, pillows and clothing. It lies in the mountain regions of Pakistan bordering Afghanistan. Begum Bibi is one of the senior supervisors of a handicraft center in Swat and, for the past 15 years, has trained young girls and women in tailoring, crocheting, and machine and hand embroidery. Since the mass exodus of 2.5 million people from Swat in 2009 and the floods of 2010, she has been trying to re-group her women and start anew with the help of Poetic Threads of Pakistan. Poetic Threads of Pakistan has been working with Begum Bibi to support her and her handicraft center in preserving and promoting their beautiful, traditional work nationally and internationally. The embroidery technique for which Begum Bibi is well known consists of extremely detailed geometric designs that are interpretations of flowers. For this work, she and her cooperative utilize handwoven cotton or linen. Traditionally, Hazara women would bring their embroidered linens to their husband’s home upon marriage. Recently, this embroidery work has become a means for many women and girls to support their families and encourage local economic development.
